point_id,kind,tmfc,hf,var,value
antarctica,temp,2026071300,0,t2m,221.49
antarctica,temp,2026071300,0,tcld,1.0
antarctica,temp,2026071300,6,t2m,220.95
antarctica,temp,2026071300,6,tcld,1.0
antarctica,temp,2026071300,12,t2m,221.82
antarctica,temp,2026071300,12,tcld,1.0
antarctica,temp,2026071300,18,t2m,222.98
antarctica,temp,2026071300,18,tcld,1.0
antarctica,temp,2026072900,0,t2m,228.1
antarctica,temp,2026072900,0,tcld,1.0
antarctica,temp,2026072900,6,t2m,226.56
antarctica,temp,2026072900,6,tcld,1.0
antarctica,temp,2026072900,12,t2m,224.73
antarctica,temp,2026072900,12,tcld,0.9
antarctica,temp,2026072900,18,t2m,223.45
antarctica,temp,2026072900,18,tcld,0.92
antarctica,temp,2026081400,0,t2m,235.51
antarctica,temp,2026081400,0,tcld,1.0
antarctica,temp,2026081400,6,t2m,242.17
antarctica,temp,2026081400,6,tcld,1.0
antarctica,temp,2026081400,12,t2m,245.75
antarctica,temp,2026081400,12,tcld,1.0
antarctica,temp,2026081400,18,t2m,245.32
antarctica,temp,2026081400,18,tcld,1.0
antarctica,sun,2026021700,12,dswrsfc,537.023
antarctica,sun,2026021700,12,rss,96.6673
antarctica,sun,2026021700,0,ps,67868.7
antarctica,sun,2026030500,12,dswrsfc,324.995
antarctica,sun,2026030500,12,rss,58.7079
antarctica,sun,2026030500,0,ps,67076.8
antarctica,sun,2026032100,12,dswrsfc,232.375
antarctica,sun,2026032100,12,rss,41.997
antarctica,sun,2026032100,0,ps,67154.0
pacific,temp,2026021700,0,t2m,298.992
pacific,temp,2026021700,0,tcld,0.941086
pacific,temp,2026021700,6,t2m,298.863
pacific,temp,2026021700,6,tcld,0.967537
pacific,temp,2026021700,12,t2m,299.0
pacific,temp,2026021700,12,tcld,1.0
pacific,temp,2026021700,18,t2m,299.084
pacific,temp,2026021700,18,tcld,0.969244
pacific,temp,2026030500,0,t2m,299.256
pacific,temp,2026030500,0,tcld,0.960821
pacific,temp,2026030500,6,t2m,299.336
pacific,temp,2026030500,6,tcld,0.999512
pacific,temp,2026030500,12,t2m,298.79
pacific,temp,2026030500,12,tcld,0.990632
pacific,temp,2026030500,18,t2m,298.997
pacific,temp,2026030500,18,tcld,0.979433
pacific,temp,2026032100,0,t2m,299.925
pacific,temp,2026032100,0,tcld,0.996681
pacific,temp,2026032100,6,t2m,299.755
pacific,temp,2026032100,6,tcld,0.984562
pacific,temp,2026032100,12,t2m,299.556
pacific,temp,2026032100,12,tcld,0.967726
pacific,temp,2026032100,18,t2m,299.655
pacific,temp,2026032100,18,tcld,0.999997
pacific,temp,2026040700,0,t2m,300.531
pacific,temp,2026040700,0,tcld,0.997448
pacific,temp,2026040700,6,t2m,300.384
pacific,temp,2026040700,6,tcld,1.0
pacific,temp,2026040700,12,t2m,299.955
pacific,temp,2026040700,12,tcld,0.999489
pacific,temp,2026040700,18,t2m,300.158
pacific,temp,2026040700,18,tcld,1.0
pacific,temp,2026042300,0,t2m,301.091
pacific,temp,2026042300,0,tcld,0.964655
pacific,temp,2026042300,6,t2m,301.179
pacific,temp,2026042300,6,tcld,0.836742
pacific,temp,2026042300,12,t2m,301.019
pacific,temp,2026042300,12,tcld,0.976062
pacific,temp,2026042300,18,t2m,301.078
pacific,temp,2026042300,18,tcld,0.999995
pacific,temp,2026050900,0,t2m,301.367
pacific,temp,2026050900,0,tcld,1.0
pacific,temp,2026050900,6,t2m,301.2
pacific,temp,2026050900,6,tcld,1.0
pacific,temp,2026050900,12,t2m,300.84
pacific,temp,2026050900,12,tcld,1.0
pacific,temp,2026050900,18,t2m,300.772
pacific,temp,2026050900,18,tcld,0.999884
pacific,temp,2026052500,0,t2m,300.79
pacific,temp,2026052500,0,tcld,1.0
pacific,temp,2026052500,6,t2m,300.782
pacific,temp,2026052500,6,tcld,1.0
pacific,temp,2026052500,12,t2m,300.646
pacific,temp,2026052500,12,tcld,1.0
pacific,temp,2026052500,18,t2m,300.806
pacific,temp,2026052500,18,tcld,0.838897
pacific,temp,2026061000,0,t2m,301.543
pacific,temp,2026061000,0,tcld,0.993151
pacific,temp,2026061000,6,t2m,301.829
pacific,temp,2026061000,6,tcld,0.996179
pacific,temp,2026061000,12,t2m,301.32
pacific,temp,2026061000,12,tcld,0.999997
pacific,temp,2026061000,18,t2m,301.109
pacific,temp,2026061000,18,tcld,0.999832
pacific,temp,2026062600,0,t2m,302.326
pacific,temp,2026062600,0,tcld,0.999817
pacific,temp,2026062600,6,t2m,302.289
pacific,temp,2026062600,6,tcld,1.0
pacific,temp,2026062600,12,t2m,302.186
pacific,temp,2026062600,12,tcld,1.0
pacific,temp,2026062600,18,t2m,302.37
pacific,temp,2026062600,18,tcld,1.0
pacific,temp,2026071300,0,t2m,302.44
pacific,temp,2026071300,0,tcld,1.0
pacific,temp,2026071300,6,t2m,302.2
pacific,temp,2026071300,6,tcld,1.0
pacific,temp,2026071300,12,t2m,301.69
pacific,temp,2026071300,12,tcld,1.0
pacific,temp,2026071300,18,t2m,301.21
pacific,temp,2026071300,18,tcld,1.0
pacific,temp,2026072900,0,t2m,301.56
pacific,temp,2026072900,0,tcld,0.66
pacific,temp,2026072900,6,t2m,301.51
pacific,temp,2026072900,6,tcld,1.0
pacific,temp,2026072900,12,t2m,300.95
pacific,temp,2026072900,12,tcld,1.0
pacific,temp,2026072900,18,t2m,301.25
pacific,temp,2026072900,18,tcld,1.0
pacific,temp,2026081400,0,t2m,301.89
pacific,temp,2026081400,0,tcld,1.0
pacific,temp,2026081400,6,t2m,302.15
pacific,temp,2026081400,6,tcld,1.0
pacific,temp,2026081400,12,t2m,301.64
pacific,temp,2026081400,12,tcld,1.0
pacific,temp,2026081400,18,t2m,301.34
pacific,temp,2026081400,18,tcld,1.0
pacific,sun,2026021700,23,dswrsfc,974.631
pacific,sun,2026021700,23,rss,935.531
pacific,sun,2026021700,0,ps,100910.0
pacific,sun,2026030500,23,dswrsfc,918.079
pacific,sun,2026030500,23,rss,876.728
pacific,sun,2026030500,0,ps,100708.0
pacific,sun,2026032100,23,dswrsfc,972.027
pacific,sun,2026032100,23,rss,932.15
pacific,sun,2026032100,0,ps,100796.0
amazon,temp,2026021700,0,t2m,297.422
amazon,temp,2026021700,0,tcld,1.0
amazon,temp,2026021700,6,t2m,296.379
amazon,temp,2026021700,6,tcld,1.0
amazon,temp,2026021700,12,t2m,298.367
amazon,temp,2026021700,12,tcld,1.0
amazon,temp,2026021700,18,t2m,299.587
amazon,temp,2026021700,18,tcld,1.0
amazon,temp,2026030500,0,t2m,300.899
amazon,temp,2026030500,0,tcld,0.988596
amazon,temp,2026030500,6,t2m,298.779
amazon,temp,2026030500,6,tcld,0.512558
amazon,temp,2026030500,12,t2m,299.873
amazon,temp,2026030500,12,tcld,0.640885
amazon,temp,2026030500,18,t2m,302.048
amazon,temp,2026030500,18,tcld,1.0
amazon,temp,2026032100,0,t2m,299.829
amazon,temp,2026032100,0,tcld,0.998271
amazon,temp,2026032100,6,t2m,297.376
amazon,temp,2026032100,6,tcld,0.99912
amazon,temp,2026032100,12,t2m,298.965
amazon,temp,2026032100,12,tcld,0.991719
amazon,temp,2026032100,18,t2m,304.362
amazon,temp,2026032100,18,tcld,1.0
amazon,temp,2026040700,0,t2m,298.795
amazon,temp,2026040700,0,tcld,1.0
amazon,temp,2026040700,6,t2m,297.319
amazon,temp,2026040700,6,tcld,0.999992
amazon,temp,2026040700,12,t2m,299.29
amazon,temp,2026040700,12,tcld,1.0
amazon,temp,2026040700,18,t2m,302.843
amazon,temp,2026040700,18,tcld,0.999593
amazon,temp,2026042300,0,t2m,297.053
amazon,temp,2026042300,0,tcld,0.999998
amazon,temp,2026042300,6,t2m,296.54
amazon,temp,2026042300,6,tcld,1.0
amazon,temp,2026042300,12,t2m,297.236
amazon,temp,2026042300,12,tcld,0.999997
amazon,temp,2026042300,18,t2m,299.508
amazon,temp,2026042300,18,tcld,1.0
amazon,temp,2026050900,0,t2m,298.025
amazon,temp,2026050900,0,tcld,1.0
amazon,temp,2026050900,6,t2m,296.86
amazon,temp,2026050900,6,tcld,1.0
amazon,temp,2026050900,12,t2m,298.713
amazon,temp,2026050900,12,tcld,0.998923
amazon,temp,2026050900,18,t2m,301.571
amazon,temp,2026050900,18,tcld,1.0
amazon,temp,2026052500,0,t2m,298.206
amazon,temp,2026052500,0,tcld,1.0
amazon,temp,2026052500,6,t2m,296.524
amazon,temp,2026052500,6,tcld,0.998409
amazon,temp,2026052500,12,t2m,297.32
amazon,temp,2026052500,12,tcld,0.999996
amazon,temp,2026052500,18,t2m,300.226
amazon,temp,2026052500,18,tcld,1.0
amazon,temp,2026061000,0,t2m,297.848
amazon,temp,2026061000,0,tcld,0.961997
amazon,temp,2026061000,6,t2m,296.523
amazon,temp,2026061000,6,tcld,0.976778
amazon,temp,2026061000,12,t2m,298.589
amazon,temp,2026061000,12,tcld,1.0
amazon,temp,2026061000,18,t2m,301.804
amazon,temp,2026061000,18,tcld,1.0
amazon,temp,2026062600,0,t2m,297.963
amazon,temp,2026062600,0,tcld,0.99164
amazon,temp,2026062600,6,t2m,296.604
amazon,temp,2026062600,6,tcld,0.999531
amazon,temp,2026062600,12,t2m,298.477
amazon,temp,2026062600,12,tcld,0.934818
amazon,temp,2026062600,18,t2m,301.661
amazon,temp,2026062600,18,tcld,0.813865
amazon,temp,2026071300,0,t2m,299.22
amazon,temp,2026071300,0,tcld,0.51
amazon,temp,2026071300,6,t2m,297.18
amazon,temp,2026071300,6,tcld,1.0
amazon,temp,2026071300,12,t2m,299.32
amazon,temp,2026071300,12,tcld,1.0
amazon,temp,2026071300,18,t2m,303.32
amazon,temp,2026071300,18,tcld,0.93
amazon,temp,2026072900,0,t2m,299.28
amazon,temp,2026072900,0,tcld,0.99
amazon,temp,2026072900,6,t2m,297.21
amazon,temp,2026072900,6,tcld,0.89
amazon,temp,2026072900,12,t2m,299.02
amazon,temp,2026072900,12,tcld,0.78
amazon,temp,2026072900,18,t2m,303.23
amazon,temp,2026072900,18,tcld,0.52
amazon,temp,2026081400,0,t2m,300.48
amazon,temp,2026081400,0,tcld,0.16
amazon,temp,2026081400,6,t2m,297.86
amazon,temp,2026081400,6,tcld,0.0
amazon,temp,2026081400,12,t2m,299.81
amazon,temp,2026081400,12,tcld,0.0
amazon,temp,2026081400,18,t2m,305.74
amazon,temp,2026081400,18,tcld,0.05
amazon,sun,2026021700,16,dswrsfc,526.262
amazon,sun,2026021700,16,rss,448.379
amazon,sun,2026021700,0,ps,100935.0
amazon,sun,2026030500,16,dswrsfc,708.767
amazon,sun,2026030500,16,rss,606.33
amazon,sun,2026030500,0,ps,100457.0
amazon,sun,2026032100,16,dswrsfc,973.186
amazon,sun,2026032100,16,rss,834.653
amazon,sun,2026032100,0,ps,100493.0
