tmfc,lat,lon,t2m,psl
2026040300,-18.6762,-118.4332,298.814,101124.0
2026040300,50.7558,105.1937,269.386,101580.0
2026040300,31.9164,-35.7934,291.777,102552.0
2026040300,-48.2179,36.1501,279.721,102422.0
2026040300,7.8201,-81.1665,297.952,100894.0
2026040300,45.8533,-74.4682,273.59,102854.0
2026040300,16.1661,-155.5425,297.194,101264.0
2026040300,-50.292,-48.3178,282.79,100344.0
2026040300,28.27,-67.9019,295.983,102550.0
2026040300,-65.4372,43.6317,273.207,100471.0
2026040300,-37.5112,-114.6647,290.635,101810.0
2026040700,-86.2688,-33.5118,229.711,100151.0
2026040700,-64.6126,42.0139,273.101,98010.9
2026040700,-54.0322,-5.2539,275.465,97940.2
2026040700,5.1246,52.1926,301.13,101244.0
2026040700,13.2765,41.4556,300.698,101079.0
2026040700,-5.5405,85.1267,300.698,101084.0
2026040700,-58.5763,-136.9324,274.486,98422.4
2026040700,-24.1594,-4.302,296.398,102087.0
2026040700,-18.1106,117.4825,301.868,101176.0
2026040700,-16.6171,-112.267,298.501,101221.0
2026040700,28.0551,19.3057,285.751,102543.0
2026040700,44.1569,135.0991,273.423,100020.0
2026040700,5.8506,-122.1354,300.535,100833.0
2026040700,-33.0951,41.8577,295.455,101488.0
2026040700,-59.3714,48.3341,274.566,96350.3
2026040700,-27.96,-141.9073,298.48,101417.0
2026040700,-15.959,153.1564,300.169,100884.0
2026040700,-22.033,78.5401,298.709,101908.0
2026040700,-31.4523,-53.7227,293.585,101373.0
2026040700,-18.6762,-118.4332,298.801,101234.0
2026040700,50.7558,105.1937,276.453,100457.0
2026040700,31.9164,-35.7934,290.847,103067.0
2026040700,-48.2179,36.1501,277.392,100142.0
2026040700,7.8201,-81.1665,302.003,100712.0
2026040700,45.8533,-74.4682,270.654,101781.0
2026040700,16.1661,-155.5425,298.126,101230.0
2026040700,-50.292,-48.3178,281.49,101231.0
2026040700,28.27,-67.9019,295.879,101784.0
2026040700,-65.4372,43.6317,272.398,98310.8
2026040700,-37.5112,-114.6647,292.035,102357.0
2026041000,-86.2688,-33.5118,231.572,99469.5
2026041000,-64.6126,42.0139,270.719,98613.5
2026041000,-54.0322,-5.2539,274.668,99851.0
2026041000,5.1246,52.1926,301.471,101110.0
2026041000,13.2765,41.4556,299.495,101112.0
2026041000,-5.5405,85.1267,301.275,101081.0
2026041000,-58.5763,-136.9324,273.504,101216.0
2026041000,-24.1594,-4.302,296.1,101760.0
2026041000,-18.1106,117.4825,300.078,101361.0
2026041000,-16.6171,-112.267,298.571,101416.0
2026041000,28.0551,19.3057,288.025,101887.0
2026041000,44.1569,135.0991,277.007,100426.0
